b0,b1,b2,L_0[km],physical_error_prob
4,12,5,1.5152,3.33E-05
4,12,5,1.4318,3.33E-05
4,12,5,1.437,3.33E-05
4,12,5,1.3436,3.33E-05
4,11,4,1.7815,3.33E-05
4,12,4,1.7871,3.33E-05
4,12,5,1.5182,3.33E-05
4,12,5,1.4357,3.33E-05
4,12,5,1.4304,3.33E-05
4,12,5,1.3484,3.33E-05
4,12,5,1.3439,3.33E-05
4,12,5,1.2574,3.33E-05
4,12,5,1.2624,3.33E-05
4,12,5,1.182,3.33E-05
4,12,5,1.1797,3.33E-05
4,12,5,1.1808,3.33E-05
4,12,5,1.1736,3.33E-05
4,12,5,1.0966,3.33E-05
4,12,5,1.1056,3.33E-05
4,12,5,1.0864,3.33E-05
4,12,5,1.5152,1.00E-04
4,12,5,1.517,1.00E-04
4,12,5,1.437,1.00E-04
4,12,5,1.4369,1.00E-04
4,12,4,1.8833,1.00E-04
4,12,4,1.7871,1.00E-04
4,12,5,1.5182,1.00E-04
4,12,5,1.5154,1.00E-04
4,12,5,1.4334,1.00E-04
4,12,5,1.4381,1.00E-04
4,12,5,1.4398,1.00E-04
4,12,5,1.3622,1.00E-04
4,12,5,1.3761,1.00E-04
4,12,5,1.3455,1.00E-04
4,12,5,1.348,1.00E-04
4,12,5,1.322,1.00E-04
5,11,4,1.371,1.00E-04
5,11,4,1.3892,1.00E-04
5,11,4,1.4094,1.00E-04
5,11,4,1.4286,1.00E-04
4,11,4,1.6129,1.67E-04
4,12,5,1.517,1.67E-04
4,12,5,1.5175,1.67E-04
4,12,4,1.952,1.67E-04
4,12,4,1.8833,1.67E-04
4,13,4,1.9534,1.67E-04
5,11,4,1.6989,1.67E-04
4,12,5,1.5154,1.67E-04
5,11,4,1.6092,1.67E-04
4,12,5,1.5143,1.67E-04
5,11,4,1.557,1.67E-04
5,11,4,1.5635,1.67E-04
5,11,4,1.5429,1.67E-04
5,11,4,1.5489,1.67E-04
5,11,4,1.5583,1.67E-04
5,11,4,1.5889,1.67E-04
5,11,4,1.6014,1.67E-04
5,11,4,1.728,1.67E-04
4,14,4,2.02,1.67E-04
4,12,4,1.8868,3.33E-04
4,12,4,1.8739,3.33E-04
4,13,4,1.9564,3.33E-04
4,13,4,2.1554,3.33E-04
4,13,4,2.1263,3.33E-04
4,13,4,2.0363,3.33E-04
4,13,4,2.0583,3.33E-04
4,13,4,1.9484,3.33E-04
4,13,4,1.9863,3.33E-04
4,13,4,2.0133,3.33E-04
4,13,4,2.0158,3.33E-04
4,14,4,2.1406,3.33E-04
4,14,4,2.1978,3.33E-04
4,14,4,2.3012,3.33E-04
4,14,4,2.6386,3.33E-04
