"Ltot","mII/mI"
100.,"ComplexInfinity"
125.89254117941661,"ComplexInfinity"
158.48931924611142,"ComplexInfinity"
199.5262314968879,"ComplexInfinity"
251.1886431509582,"ComplexInfinity"
316.2277660168379,"ComplexInfinity"
398.1071705534969,"ComplexInfinity"
501.18723362727246,"ComplexInfinity"
630.957344480193,"ComplexInfinity"
794.3282347242822,"ComplexInfinity"
1000.,"ComplexInfinity"
1258.9254117941662,"ComplexInfinity"
1584.8931924611143,nan
1995.2623149688789,nan
2511.8864315095825,nan
3162.2776601683795,nan
3981.0717055349696,nan
5011.872336272725,nan
6309.57344480193,nan
7943.282347242822,nan
10000.,nan
