"Ltot","SKR"
100.,17840.837985172388
125.89254117941661,18673.215361785107
158.48931924611142,17995.77800663251
199.5262314968879,17594.254498752445
251.1886431509582,17059.44548078022
316.2277660168379,16538.80367681783
398.1071705534969,15991.92321901207
501.18723362727246,15319.115793597894
630.957344480193,14560.093287283367
794.3282347242822,13732.264891430155
1000.,12608.615918507481
1258.9254117941662,11368.426093499122
1584.8931924611143,10396.682292970616
1995.2623149688789,8937.5488110945
2511.8864315095825,8104.07962078074
3162.2776601683795,5918.483949365967
3981.0717055349696,3415.503245761924
5011.872336272725,970.5798938807364
6309.57344480193,34.46413117407175
7943.282347242822,0.
10000.,0.
